"","SpeciesID","all.biomass","OrganismType","NodeColor","NodeShape","NodeName","TrophicLevel","Description","ImageFile","Caption","ImageSource","ImageLiscence","X","X.1","X.2"
"23",68,569.15303,"Molluscs","Dark Teal-2","Circle","Pacific Littleneck Clam",2,"The Pacific Littleneck Clam is one of many clam species. It is vulnerable to ocean acidification, which is the decrease in the ocean's pH as it uptakes carbon dioxide.","softshell-ca.jpg","Mya arenaria, a different, but similar species of softshell clam.","Georges Jansoone","Free to copy and adapt with credit","","",""
"24",70,151.8597,"Molluscs","Dark Teal-2","Circle","Butter Clam",2.92024539877301,"Butter clams are a species of saltwater clam that are vulnerable to ocean acidification.","butter-clam.jpg","Close up of a Butter Clam.","Cody Logan","Free to copy and adapt with credit","","",""
"25",71,0.0005142,"Molluscs","Dark Teal-2","Circle","Fat Jackknife Clam",2.98159509202454,"The Fat Jackknife Clam is a species of saltwater clam that are vulnerable to ocean acidification.","jack-clam.jpg","A different but similar species of jackknife clam in sand and seaweed.","North Madison","Free to copy and adapt with credit","","",""
"26",72,257.61279,"Molluscs","Dark Teal-2","Circle","California Jackknife Clam",2.98159509202454,"The California Jackknife Clam is a species of saltwater clam that are vulnerable to ocean acidification.","jack-clam.jpg","A different but similar species of jackknife clam in sand and seaweed.","North Madison","Free to copy and adapt with credit","","",""
"27",73,317.06629,"Molluscs","Dark Teal-2","Circle","Lesser Tagelus",2,"The lesser Tagelus is a species of saltwater clam that are vulnerable to ocean acidification.","jack-clam.jpg","A different species of clam in sand and seaweed.","North Madison","Free to copy and adapt with credit","","",""
"28",75,2.2624235,"Molluscs","Dark Teal-2","Circle","Acteocina inculta",2,"Acteocina inculta is a species of sea snail.","sea-snail.jpg","A different but similar species of sea snail.","Siegella","Free for commercial use","","",""
"29",76,6.2561136,"Molluscs","Dark Teal-2","Circle","California Assiminea",0.999999999999999,"California Assiminea is a species of small, salt-tolerant snails.","assiminea.png","Close up of the shell of a snail species similar to California Assiminea.","Whelan, NV, Johnson, PD, Harris, PM","Free to copy and adapt with credit","","",""
"30",79,143.83576,"Molluscs","Dark Teal-2","Circle","California Horn Snail",1.99999999999999,"The California Horn Snail is a species of sea snail.","ca-horn.jpg","Top and side view of three California Horn Snail shells.","H. Zell","Free to copy and adapt with credit","","",""
"31",82,85.015283,"Molluscs","Dark Teal-2","Circle","Salt Marsh Snail",1,"The Salt Marsh Snail, also known as the Marsh periwinkle is a species of sea snail.","snail.png","A close up of a Salt Marsh Snail.","Josve05a","Free to copy and adapt with credit","","",""
"32",86,3.519108023,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Black Salt Marsh Mosquito",4.48620229028199,"The Black Salt Marsh mosquito is a type of mosquito.","mosquito.jpg","Green Mosquito, a species similar to the Black Salt Marsh Mosquito, on a leaf.","Haneef_honey","Free to copy and adapt with credit","","",""
"33",87,5.642390964,"Crustacean","Teal-3","Circle","Argulus",4.20020043762425,"Argulus are a species of small crustaceans, also known as fish lice.","argulus.jpg","A type of Argulus in a dish of water.","Donald Hobern","Free to copy and adapt with credit","","",""
"34",89,6.0595817,"Crustacean","Teal-3","Circle","Corophiid",1,"Corophiids are small crustaceans. ","Corophiid.jpg","A microscopic image of a Corophiid.","Hans Hillewaert","Free to copy and adapt with credit","","",""
"35",90,3.625295867,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Western Encephalitis Mosquito",4.48620229028199,"The Western Encephalitis mosquito is a type of mosquito.","mosquito.jpg","Green Mosquito, a species similar to theWestern Encephalitis Mosquito, on a leaf.","Haneef_honey","Free to copy and adapt with credit","","",""
"36",92,0.0246359,"Crustacean","Teal-3","Circle","Cyclopoid Copepod",2,"Cyclopoid Copepod are small crustaceans. ","copepod.jpg","Copepod.","Jacabo Werther","Free to copy and adapt with credit","","",""
"37",93,0.0389175,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Dipteran",1,"Diptera are a species of common fly, this is the species you likely see most.","fly.jpg","Close up of a fly on a leaf.","fjcorado","Free for commercial use","","",""
"38",94,2.948143,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Ephydra",1.99999999999999,"Ephydra are a species of common fly.","fly.jpg","Close up of a fly on a leaf.","fjcorado","Free for commercial use","","",""
"39",99,0.0696413,"Crustacean","Teal-3","Circle","Green Gammaridean",2.00000000000001,"Green Gammaridean are small crustaceans. ","amphipod.jpg","A different species of amphipod.","Uwe Kils","Free to copy and adapt with credit","","",""
"40",100,0.1384038,"Crustacean","Teal-3","Circle","Garpacticoid",1,"Garpacticoid are small crustaceans. ","amphipod.jpg","A different species of amphipod.","Uwe Kils","Free to copy and adapt with credit","","",""
"41",102,1.4327233,"Crustacean","Teal-3","Circle","Oniscidean",0.999999999999996,"Oniscidean are small crustaceans. ","Oniscidean.jpg","Two Oniscidean on wood.","Ryan Hodnett","Free to copy and adapt with credit","","",""
"42",104,0.1182526,"Crustacean","Teal-3","Circle","Ostracod",2,"Ostracods are small crustaceans that are vulnerable to hypoxia.","","","","","","",""
"43",106,1.5349126,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Pardosa",2,"Paradosa is a genus of wolf spiders.","Pardosa.jpg","A close up of a species of Paradosa.","Alvesgaspar","Free to copy and adapt with credit","","",""
"44",109,3.3067643,"Crustacean","Teal-3","Circle","Salt Marsh Hopper",0.999999999999998,"Salt Marsh Hoppers are small crustaceans. ","","","","","","",""
"45",110,0.726149,"Insects, Annelids and Arachnids","Dark Purple-6","Circle","Salt Marsh Water Boatman",2,"Salt Marsh Water Boatman are small, aquatic insects that can live in marine, brackish, and freshwater.","","","","","","",""
"46",111,7.1600804,"Crustacean","Teal-3","Circle","Calfornia Ghost Shrimp",2,"The California Ghost Shrimp, also known as the Bay Ghost Shrimp, is one of many species of ghost shrimp. ","ghost-shrimp.jpg","A similar species of ghost shrimp.","Hans Hillewaert","Free to copy and adapt with credit","","",""
"47",112,8.277904,"Crustacean","Teal-3","Circle","Southern Mud Shrimp",3.23274539877301,"The Southern Mud Shrimp is a species of crustacean that spends most of its time burrowed in mud and tidal flats.","mud-shrimp.jpg","A similar species of mud shrimp.","Hans Hillewaert","Free to copy and adapt with credit","","",""
"48",113,0.1412562,"Crustacean","Teal-3","Circle","Green Shore Crab",3.04805725971371,"The Green Shore Crab is one of the most common littoral crabs. This species is vulnerable to pollution.","g-crab.jpg","A Green Shore Crab underwater in sand.","Ansgar Gruber","Free to copy and adapt with credit","","",""
"49",114,175.59909,"Crustacean","Teal-3","Circle","Striped Shore Crab",3.10873704252169,"The Striped Shore Crab is a species of crab that lives in muddy areas. This species is likely vulnerable to pollution.","stribe-crab.jpg","A Striped Shore Crab standing in a rocky sand patch.","Rudolphous ","Free to copy and adapt with credit","","",""
"50",115,0.2141502,"Crustacean","Teal-3","Circle","Fiddler Crab",2.00000000000001,"Fiddler crabs are small crustacenas with a distinctive large claw. ","fiddler.jpg","A fiddler crab standing above its burrow in rocky sand.","NeedsPixels at Pixabay","Free for commercial use","","",""
"51",116,0.4240099,"Fish","Blue-7","Circle","Yellow-fin Goby",3.66063005395115,"The Yellow-fin Goby is a small fish native to Asia.","goby.jpg","Round goby, a species similar to the Yellow-fin Goby, in water.","Peter van der Sluijis","Free to copy and adapt with credit","","",""
"52",118,4.5752376,"Fish","Blue-7","Circle","Topsmelt",3.23274539877301,"Topsmelt is a small fish species found in bays and estuaries, among other coastal ecosystems. This species is targeted by commercial fisheries but is considered to have a stable population size.","topsmelt.png","Topsmelt Silverside on towel.","Theo Modder","Free to copy and adapt with credit","","",""
"53",119,0.6982437,"Fish","Blue-7","Circle","Arrow Goby",3.15132924335378,"Arrow Goby are a small fish native to the Pacific coast off the United States.","goby.jpg","Round goby, a species similar to the Arrow Goby, in water.","Peter van der Sluijis","Free to copy and adapt with credit","","",""
"54",120,0.0449312,"Fish","Blue-7","Circle","Shiner Surfperch",2.33333333333333,"Shiner surfperch are non-migratory fish that live in marine and brackish (slightly salty, occuring where salt and fresh water meet) waters. There are small commercial fisheries that target this species, and it is occasionally used as bait by recreational fishers. This species is vulnerable to habitat loss.","surfperch.jpg","Shiner Surfperch swimming.","David Stang","Free to copy and adapt with credit","Topsmelt Silverside on towel.","Theo Modder","Free to copy and adapt with credit"
"55",121,1.6540096,"Fish","Blue-7","Circle","California Killifish",3.16765547647552,"The California Killifish is a small fish found around California and Baja California. ","","","","","","",""
"56",122,0.7728177,"Fish","Blue-7","Circle","Long-jawed Mudsucker",3.15449575069423,"The Long-jawed Mudsucker is a small fish species.","goby.jpg","Round goby, a species similar to the Long-jawed Mudsucker, in water.","Peter van der Sluijis","Free to copy and adapt with credit","","",""
"57",125,0.2618094,"Fish","Blue-7","Circle","Diamond Turbot",3.41922032243678,"Diamond Turbot is a type of flatfish that occurs in coastal and brackish waters, living on muddy and sandy bottoms. They are not commercially targeted, but some recreational fishers may target this specices. It is not considered to be vulnerable. ","turbot.jpg","Windowpane flounder laying on table. Similar species to Diamond turbot.","Matthieu Godbout (assumed based on copyright)","Free to copy and adapt with credit","","",""
"58",127,10.415117,"Fish","Blue-7","Circle","Staghorn Sculpin",3.43499392956319,"The Staghorn Sculpin is a common species of sculpin found off of the Pacific coast of the United States. It is vulnerable to eutrophication.","sculpin.jpg","Halewood Tidepool Sculpin, a species similar to the Staghorn Sculpin.","Stuart Halewood","Free to copy and adapt with credit","","",""
"59",132,0.1536856,"Fish","Blue-7","Circle","California Halibut",3.3797707685769,"California Halibut is a large species of flatfish that lives on the Pacific Coast of the United States. This species is targeted by both commercial and recreational fisheries. It is considered to be vulnerable to the loss of critical nursery habitat.","halibut.jpg","Three men standing next two many of the California Halibut that they caught.","Kolmkolm","Free to copy and adapt with credit","","",""
"60",139,0.0863925,"Fish","Blue-7","Circle","Leopard Shark",3.88848119844769,"Leopard sharks are a small species of shark that lives in shallow waters in the Pacific Coast of the United States. It is targeted by both commercial and recreational fisheries, and is susceptible to overfishing.","leo-shark.jpg","Leopard shark in sand.","Clark Anderson","Free to copy and adapt with credit","","",""
"61",140,0.0284862,"Fish","Blue-7","Circle","Haller's Round Ray",3.76955328652775,"Haller's Round Ray is a species of stingray that lives in shallow coastal waters along the coast of California. Its range extends south to Ecuador. There a some fisheries that target this species but it is generally not considered vulnerable. ","Urabotis.jpg","Yellow stingray, a species of stingray close to Haller's Round Ray.","David Stang","Free to copy and adapt with credit","","",""
"62",141,0.0151609,"Bird","Maroon-11","Circle","American Avocet",3.5095940487482,"The American Avocet is a migrating bird that occurs in the Western half of the United States. This bird is generally stable but is vulnerable to climate change impacts, especially in their salt marsh habitats.","avocet.jpg","Two American Avocets standing in water.","Raymond M. Coveney","Free to copy and adapt with credit","","",""
"63",143,0.0922059,"Bird","Maroon-11","Circle","American Coot",2.60311467673432,"The American Coot is considered to be an adaptable waterbird with a range covering most of the United States, extending into Canada and Mexico. It has a low vulnerability status.","amer-coot.jpg","American Coot getting ready to take flight from water.","fletchershauna at Pixabay","Free for commercial use","","",""
"64",144,0.0013822,"Bird","Maroon-11","Circle","American Crow",3.84679361175751,"The American Crow is considered one of the most intelligent birds and is widespread across the United States. This species has a low vulnerability status.","crow.jpg","American Crow standing on a branch.","Jasmin_Sessler at Pixabay","Free for commercial use","","",""
"65",145,0.0674677,"Bird","Maroon-11","Circle","American Wigeon",3.08840041641491,"The American Wigeon is a species of duck. It is considered to be moderately vulnerable to climate change.","amer-wigeon.jpg","American Wigeon sitting in water.","Alan Wilson","Free for commercial use","","",""
"66",146,0.0063977,"Bird","Maroon-11","Circle","Black-bellied Plover",3.1854270972898,"The Black-bellied plover spends winter on the Pacific coast of the United States. In the summers, it lives in Northern Canada. This species is highly vulnerable to climate change. ","bb-plover.jpg","Black-bellied Plover standing in field.","Caleb Putnam","Free to copy and adapt with credit","","",""
"67",147,0.0300871,"Bird","Maroon-11","Circle","Black-crowned Night Heron",4.16454044916208,"The Black-crowned Night Heron can be found across the United States and is vulnerable to water pollution and habitat loss.","night-heron.jpg","Black-crowned Night Heron standing on rock.","lucas_pego at Pixabay","Free for commercial use","","",""
"68",148,0.0036769,"Bird","Maroon-11","Circle","Belted Kingfisher",3.91124473619395,"Belted Kingfishers are common, migrating birds that occur across North America. Recent surveys indicate a decline in population, as these birds tend to be vulnerable to habitat loss and climate change.","kingfisher.jpg","Belted Kingfisher sitting on tree branch above water. ","JudaM at pixabay","Free for commercial use","","",""
"69",151,0.0007309,"Bird","Maroon-11","Circle","Bonaparte's Gull",3.78165564162232,"The Bonaparte's Gull is the smallest gull to occur in North America and migrates from Canada to coastal United States in the winter. While it is vulnerable to climate change and increased temperatures, it is less vulnerable to other human-related disturbances.","bonaparte.jpg","Bonaparte's Gull standing on branch.","tdfugere at Pixabay","Free for commercial use","","",""
"70",154,0.0915692,"Bird","Maroon-11","Circle","Bufflehead",3.5358144429437,"The Bufflehead is a smaller duck species that occurs in North America. It is generally considered to have a stable population, but is vulnerable to habitat loss and highly vulnerable to climate change.","bufflehead.jpg","Two Buffleheads sitting in water.","bryanhanson1956 at Pixabay","Free for commercial use","","",""
"71",155,0.0516353,"Bird","Maroon-11","Circle","Blue-winged Teal",3.08840041641491,"The Blue-winged Teal is a small species of duck that spends its summers in Canada and the United States, migrating south towards South America in the winter. It is considered to have a low vulnerability status. ","bw-teal.jpg","Blue-winged Teal sitting near water.","HarmonyonPlanetEarth","Free to copy and adapt with credit","","",""
"72",157,0.249866575,"Bird","Maroon-11","Circle","California Gull",3.80922705839755,"The California Gull is a gull species that occurs mainly on the Pacific coast of North America. It is moderately vulnerable to climate change.","ca-gull.jpg","California Gull standing on a rock near water.","raggio5","Free for commercial use","","",""
"73",158,0.0036287,"Bird","Maroon-11","Circle","Caspian Tern",3.97126586298391,"The Caspian Tern is the largest of all tern species. These birds have a low vulnerability to climate change.","c-tern.jpg","Two Caspian Terns standing in sand.","Francesco Veronesi","Free to copy and adapt with credit","","",""
"74",159,0.0149052,"Bird","Maroon-11","Circle","Cinnamon Teal",3.08840041641491,"The Cinnamon Teal is a common species of duck that can be found only in the Western half of the United States, in addition to their range in Mexico. It is moderately vulnerable to climate change. ","cinn-teal.jpg","Cinnamon Teal swimming in water.","jimsimmons at Pixabay","Free for commercial use","","",""
"75",161,0.002242,"Bird","Maroon-11","Circle","Cooper's Hawk",4.08025018411189,"The Cooper's Hawk is a widespread species that is not considered to be vulnerable to climate change.","c-hawk.jpg","Cooper's Hawk sitting on a tree branch.","wileydoc at Pixabay","Free for commercial use","","",""
"76",163,0.0124805,"Bird","Maroon-11","Circle","Double-crested Cormorant",4.21490825301754,"The Double-crested Cormorant is a species of diving birds that is not considered to be vulnerable to climate change. However, it may be impacted by pollution.","cormorant.jpg","Double-crested Cormorant sitting in water.","Alan Vernon","Free to copy and adapt with credit","","",""
"77",164,0.0090074,"Bird","Maroon-11","Circle","Dunlin",3.09382696114477,"The Dunlin is a migrating species that spends its winters on the Pacific coast of the United States. This species has seen considerable declines in their wintering seasons and is highly vulnerable to climate change.","dunlin.jpg","Dunlin standing in water.","Georg-Wietschorke at Pixabay","Free for commercial use","","",""
"78",168,0.2673797,"Bird","Maroon-11","Circle","Great Blue Heron",4.21490825301754,"Great Blue Herons are large, common water birds and are considered to be highly adaptable. They will likely not be negatively affected by climate change.","heron.jpg","Great Blue Heron flying over water.","PublicDomainImages at pixabay","Free for commercial use","","",""
"79",169,0.0701152,"Bird","Maroon-11","Circle","Great Egret",4.21490825301754,"Great Egrets are a tall, water bird that is generally not vulnerable to climate change. This bird has a wide range that spans the Southern pacific and Southern Atlantic coasts of the United States.","egret.jpg","Great Egret flying.","sschema at pixabay","Free for commercial use","","",""
"80",170,0.0075045,"Bird","Maroon-11","Circle","Green Heron",3.97126586298391,"The Green Heron is smaller than the Great Blue Heron but will also likely not be impacted negatively by climate change.","green-heron.jpg","Green Heron standing on rock.","zoosnow at pixabay","Free for commercial use","","",""
"81",172,0.0396191,"Bird","Maroon-11","Circle","Greater Yellowlegs",3.49609701429555,"Greater Yellowlegs are a migrating, wading bird species. It is highly vulnerable to climate change, and there is not consensus on the stability of its population.","g-yellow.jpg","Greater Yellowlegs standing in shallow water.","ftmartens at Pixabay","Free for commercial use","","",""
"82",173,0.1386956,"Bird","Maroon-11","Circle","Green-winged Teal",3.1972404580564,"This small duck species is common and widespread. The Green-winged Teal is considered to have low vulnerability to climate change.","gw-teal.jpg","Green-winged Teal swimming in water.","Gennaro-Leonardi at Pixabay","Free for commercial use","","",""
"83",174,0.0062451,"Bird","Maroon-11","Circle","Killdeer",2.25,"The Killdeer is a common species of bird, and is not considered to be vulnerable to climate change. ","killdeer.jpg","Killdeer sitting in gravel.","Kenroy at Pixabay","Free for commercial use","","",""
"84",175,0.0835354,"Bird","Maroon-11","Circle","Long-billed Curlew",3.79600969901041,"The Long-billed Curlew is one of the largest shorebirds, migrating across the Western United States and Mexico. It is vulnerable to habitat loss, as much of their breeding habitat has been converted to agriculture. They are also highly vulnerable to climate change.","lb-curlew.jpg","Long-billed Curlew taking flight from water.","Hasheem5 at Pixabay","Free for commercial use","","",""
"85",176,0.0553906,"Bird","Maroon-11","Circle","Long-billed Dowitcher",3.20267996122067,"The Long-billed Dowitcher is a similar species to the Long-billed Curlew. While they overlap in range, the Long-billed Dowitcher prefers fresh water to salt water. This species is highly vulnerable to climate change.","lb-dowitcher.jpg","Long-billed Dowitcher standing in shallow water.","Francesco Veronesi","Free to copy and adapt with credit","","",""
"86",177,0.0035291,"Bird","Maroon-11","Circle","Little Blue Heron",3.94260172260714,"The Little Blue Heron is a migrating bird that is not considered to be vulnerable to climate change.","lb-heron.jpg","Little Blue Heron standing in marsh water.","NextRoy at Pixabay","Free for commercial use","","",""
"87",178,0.0356641,"Bird","Maroon-11","Circle","Least Sandpiper",2.88927680669944,"The Least Sandpiper is a migrating species. This species relies less on ""stopover"" sites than other migrating birds, and is considered to be moderately vulnerable to climate change.","least-sand.jpg","Least Sandpiper standing at water's edge.","Alan Vernon","Free to copy and adapt with credit","","",""
"88",181,0.1057894,"Bird","Maroon-11","Circle","Marbled Godwit",3.22251251674776,"The Marbled Godwit is a migrating bird that is declining due to habitat loss in their summer habitat. They are moderately vulnerable to climate change.","m-godwit.jpg","Marbled Godwit standing in waves.","moonietunes at Pixabay","Free for commercial use","","",""
"89",182,0.4704502,"Bird","Maroon-11","Circle","Mallard",2.82190615179789,"Mallards are one of the most abundant ducks in the world. They migrate across North America and are considered to have a low vulnerability to climate change.","mallard.jpg","Three female and two male Mallards standing in shallow water.","Pixabay","Free for commercial use","","",""
"90",183,0.273488671,"Bird","Maroon-11","Circle","Mew Gull",3.78165564162232,"The Mew Gull, also known as the Common Gull, is a medium-sized, migrating water bird that is common along the Pacific Coast and in Alaska and Northern Canada. Like many other birds, the Mew Gull is vulnerable to pollution.","gull.jpg","Mew Gull standing near water.","PublicDomainPictures at pixabay","Free for commercial use","","",""
"91",187,0.0198625,"Bird","Maroon-11","Circle","Pied-billed Grebe",4.08135898850765,"The Pied-billed Grebe is a common and widespread bird. While there have been declines in this species in the last few decades, it is generally not vulnerable to disturbances.","pied-grebe.jpg","Pied-billed Grebe swimming in water.","Alan Vernon","Free to copy and adapt with credit","","",""
"92",189,0.0064582,"Bird","Maroon-11","Circle","Ring-billed Gull",3.78165564162233,"The Ring-billed Gull is one of the most common gulls in North America, and has benefited greatly from the aavailability of food provided by humans. It is considered to have a low vulnerability status to climate change. ","rb-gull.jpg","Ring-billed Gull standing in shallow water.","jodylehigh at Pixabay","Free for commercial use","","",""
"93",190,0.0518401,"Bird","Maroon-11","Circle","Red-breasted Merganser",4.21490825301755,"The Red-breasted Merganser is a species of duck found in coastal United States and the Great Lakes Region. This species may lose about 30% of its range due to climate change.","merganser.jpg","Red-breasted Merganser swimming in water.","Pixabay","Free for commercial use","","",""
"94",194,0.0019375,"Bird","Maroon-11","Circle","Ruddy Duck",2.82237266584015,"Ruddy Ducks are a species of stiff-tailed ducks in North America. It is vulnerable to habitat loss, and mildly vulnerable to climate change.","ruddy.jpg","Ruddy Dyck taking flight from water. ","Lancier at Pixabay","Free for commercial use","","",""
"95",197,0.0070175,"Bird","Maroon-11","Circle","Semipalmated Plover",3.0158021937163,"While the Semipalmated is widespread and common in coastal ecosystems across the United States, this species is considered to be highly vulnerable to climate change.","semi-plover.kpg","Juvenile Semipalmated Plover walking in sand. ","Alan Vernon","Free to copy and adapt with credit","","",""
"96",198,0.0758358,"Bird","Maroon-11","Circle","Snowy Egret",3.94260172260714,"The Snowy Egret is a small species of egret that is found mostly in the Southern United States and Mexico. It is continuously recovering from historic population decreases and is not considered to be vulnerable to climate change.","snow-egret.jpg","Snowy Egret standing on rocks near rushing water.","cegoh at Pixabay","Free for commercial use","","",""
"97",201,0.0003662,"Bird","Maroon-11","Circle","Spotted Sandpiper",3.20437116564417,"The Spotted Sandpiper is a comon and widespread bird. It is generally not threatened, however it is vulnerable to habitat loss.","spot-sandpiper.jpeg","Two Spotted Sandpipers standing in water.","sarangib at pixabay","Free for commercial use","","",""
"98",202,0.0026295,"Bird","Maroon-11","Circle","Surf Scoter",3.62008463006057,"The Surf Scoter is a species of duck that migrates to the Pacific coast of the United States, where it is vulnerable to oil spills and other pollution.","surf-scoter","Two Surf Scoters swimming in water.","Omar Runolfsson","Free to copy and adapt with credit","","",""
"99",204,0.0470025,"Bird","Maroon-11","Circle","Turkey Vulture",0.999999999999999,"Turkey Vultures are widespread across North America and are not considered to be vulnerable to climate change.","t-vulture.jpg","Turkey Vulture flying.","Lostangelino at Pixabay","Free for commercial use","","",""
"100",205,0.0218222,"Bird","Maroon-11","Circle","Western Grebe",4.21490825301754,"The Western Grebe is a species of aquatic birds that migrates between fresh water lakes and brackish coastal waters in North America. While this species used to be targeted for its feathers, it is currently only vulnerable to climate change.","w-grebe.png","Two Western Grebes swimming.","Krazytea","Free to copy and adapt with credit","","",""
