"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"136",112,139,"Feeding"
"137",113,139,"Feeding"
"138",114,139,"Feeding"
"139",115,139,"Feeding"
"140",118,139,"Feeding"
"141",900,139,"Feeding"
"142",120,139,"Feeding"
"143",125,139,"Feeding"
"144",132,139,"Feeding"
"145",700,139,"Feeding"
"146",400,140,"Feeding"
"147",500,140,"Feeding"
"148",68,140,"Feeding"
"149",111,140,"Feeding"
"150",112,140,"Feeding"
"151",113,140,"Feeding"
"152",114,140,"Feeding"
"153",115,140,"Feeding"
"154",900,140,"Feeding"
"155",700,140,"Feeding"
"156",400,141,"Feeding"
"157",500,141,"Feeding"
"158",600,141,"Feeding"
"159",900,141,"Feeding"
"160",300,143,"Feeding"
"161",500,143,"Feeding"
"162",700,143,"Feeding"
"163",400,144,"Feeding"
"164",500,144,"Feeding"
"165",68,144,"Feeding"
"166",113,144,"Feeding"
"167",114,144,"Feeding"
"168",118,144,"Feeding"
"169",300,145,"Feeding"
"170",500,145,"Feeding"
"171",700,145,"Feeding"
"172",600,145,"Feeding"
"173",400,146,"Feeding"
"174",61,146,"Feeding"
"175",500,146,"Feeding"
"176",66,146,"Feeding"
"177",68,146,"Feeding"
"178",600,146,"Feeding"
"179",700,146,"Feeding"
"180",113,146,"Feeding"
"181",114,146,"Feeding"
"182",115,146,"Feeding"
"183",900,146,"Feeding"
"184",400,147,"Feeding"
"185",113,147,"Feeding"
"186",114,147,"Feeding"
"187",115,147,"Feeding"
"188",900,147,"Feeding"
"189",118,147,"Feeding"
"190",120,147,"Feeding"
"191",125,147,"Feeding"
"192",132,147,"Feeding"
"193",118,148,"Feeding"
"194",120,148,"Feeding"
"195",900,148,"Feeding"
"196",400,151,"Feeding"
"197",500,151,"Feeding"
"198",66,151,"Feeding"
"199",68,151,"Feeding"
"200",113,151,"Feeding"
"201",114,151,"Feeding"
"202",118,151,"Feeding"
"203",400,154,"Feeding"
"204",500,154,"Feeding"
"205",66,154,"Feeding"
"206",68,154,"Feeding"
"207",700,154,"Feeding"
"208",113,154,"Feeding"
"209",114,154,"Feeding"
"210",115,154,"Feeding"
"211",300,155,"Feeding"
"212",500,155,"Feeding"
"213",700,155,"Feeding"
"214",600,155,"Feeding"
"215",400,157,"Feeding"
"216",500,157,"Feeding"
"217",66,157,"Feeding"
"218",68,157,"Feeding"
"219",113,157,"Feeding"
"220",114,157,"Feeding"
"221",118,157,"Feeding"
"222",900,157,"Feeding"
"223",118,158,"Feeding"
"224",900,158,"Feeding"
"225",120,158,"Feeding"
"226",300,159,"Feeding"
"227",500,159,"Feeding"
"228",700,159,"Feeding"
"229",600,159,"Feeding"
"230",164,161,"Feeding"
"231",178,161,"Feeding"
"232",201,161,"Feeding"
"233",207,161,"Feeding"
"234",900,163,"Feeding"
"235",118,163,"Feeding"
"236",120,163,"Feeding"
"237",125,163,"Feeding"
"238",132,163,"Feeding"
"239",400,164,"Feeding"
"240",500,164,"Feeding"
"241",68,164,"Feeding"
"242",700,164,"Feeding"
"243",120,164,"Feeding"
"244",900,164,"Feeding"
"245",900,168,"Feeding"
"246",118,168,"Feeding"
"247",120,168,"Feeding"
"248",125,168,"Feeding"
"249",132,168,"Feeding"
"250",900,169,"Feeding"
"251",118,169,"Feeding"
"252",120,169,"Feeding"
"253",125,169,"Feeding"
"254",132,169,"Feeding"
"255",118,170,"Feeding"
"256",900,170,"Feeding"
"257",120,170,"Feeding"
"258",400,172,"Feeding"
"259",500,172,"Feeding"
"260",600,172,"Feeding"
"261",900,172,"Feeding"
"262",300,173,"Feeding"
"263",500,173,"Feeding"
"264",700,173,"Feeding"
"265",600,173,"Feeding"
"266",600,174,"Feeding"
"267",700,174,"Feeding"
"268",400,175,"Feeding"
"269",61,175,"Feeding"
"270",500,175,"Feeding"
"271",111,175,"Feeding"
"272",112,175,"Feeding"
"273",113,175,"Feeding"
"274",114,175,"Feeding"
"275",115,175,"Feeding"
"276",900,175,"Feeding"
"277",700,175,"Feeding"
"278",400,176,"Feeding"
"279",500,176,"Feeding"
"280",68,176,"Feeding"
"281",700,176,"Feeding"
"282",600,176,"Feeding"
"283",113,176,"Feeding"
"284",900,176,"Feeding"
"285",400,177,"Feeding"
"286",600,177,"Feeding"
"287",113,177,"Feeding"
"288",114,177,"Feeding"
"289",115,177,"Feeding"
"290",900,177,"Feeding"
"291",118,177,"Feeding"
"292",120,177,"Feeding"
"293",125,177,"Feeding"
"294",132,177,"Feeding"
"295",400,178,"Feeding"
"296",500,178,"Feeding"
"297",600,178,"Feeding"
"298",700,178,"Feeding"
"299",120,178,"Feeding"
"300",900,178,"Feeding"
"301",400,181,"Feeding"
"302",500,181,"Feeding"
"303",68,181,"Feeding"
"304",700,181,"Feeding"
"305",113,181,"Feeding"
"306",114,181,"Feeding"
"307",115,181,"Feeding"
"308",900,181,"Feeding"
"309",300,182,"Feeding"
"310",500,182,"Feeding"
"311",700,182,"Feeding"
"312",600,182,"Feeding"
"313",400,183,"Feeding"
"314",500,183,"Feeding"
"315",66,183,"Feeding"
"316",68,183,"Feeding"
"317",113,183,"Feeding"
"318",114,183,"Feeding"
"319",118,183,"Feeding"
"320",400,187,"Feeding"
"321",700,187,"Feeding"
"322",113,187,"Feeding"
"323",114,187,"Feeding"
"324",115,187,"Feeding"
"325",900,187,"Feeding"
"326",118,187,"Feeding"
"327",120,187,"Feeding"
"328",125,187,"Feeding"
"329",132,187,"Feeding"
"330",400,189,"Feeding"
"331",500,189,"Feeding"
"332",66,189,"Feeding"
"333",68,189,"Feeding"
"334",113,189,"Feeding"
"335",114,189,"Feeding"
"336",118,189,"Feeding"
"337",900,190,"Feeding"
"338",118,190,"Feeding"
"339",120,190,"Feeding"
"340",125,190,"Feeding"
"341",132,190,"Feeding"
"342",300,194,"Feeding"
"343",400,194,"Feeding"
"344",500,194,"Feeding"
"345",700,194,"Feeding"
"346",600,194,"Feeding"
"347",400,197,"Feeding"
"348",500,197,"Feeding"
"349",600,197,"Feeding"
"350",400,198,"Feeding"
"351",600,198,"Feeding"
"352",113,198,"Feeding"
"353",114,198,"Feeding"
"354",115,198,"Feeding"
"355",900,198,"Feeding"
"356",118,198,"Feeding"
"357",120,198,"Feeding"
"358",125,198,"Feeding"
"359",132,198,"Feeding"
"360",400,201,"Feeding"
"361",61,201,"Feeding"
"362",500,201,"Feeding"
"363",600,201,"Feeding"
"364",113,201,"Feeding"
"365",400,202,"Feeding"
"366",500,202,"Feeding"
"367",66,202,"Feeding"
"368",68,202,"Feeding"
"369",700,202,"Feeding"
"370",111,202,"Feeding"
"371",112,202,"Feeding"
"372",113,202,"Feeding"
"373",114,202,"Feeding"
"374",115,202,"Feeding"
"375",900,205,"Feeding"
"376",118,205,"Feeding"
"377",120,205,"Feeding"
"378",125,205,"Feeding"
"379",132,205,"Feeding"
"380",300,207,"Feeding"
"381",400,207,"Feeding"
"382",61,207,"Feeding"
"383",500,207,"Feeding"
"384",600,207,"Feeding"
"385",113,207,"Feeding"
"386",400,208,"Feeding"
"387",500,208,"Feeding"
"388",113,208,"Feeding"
"389",114,208,"Feeding"
"390",115,208,"Feeding"
"391",400,209,"Feeding"
"392",61,209,"Feeding"
"393",500,209,"Feeding"
"394",66,209,"Feeding"
"395",68,209,"Feeding"
"396",700,209,"Feeding"
"397",600,209,"Feeding"
"398",111,209,"Feeding"
"399",112,209,"Feeding"
"400",113,209,"Feeding"
"401",114,209,"Feeding"
"402",115,209,"Feeding"
"403",900,209,"Feeding"
"404",400,210,"Feeding"
"405",113,210,"Feeding"
"406",114,210,"Feeding"
"407",115,210,"Feeding"
"408",118,210,"Feeding"
"409",143,210,"Feeding"
"410",174,210,"Feeding"
"411",182,210,"Feeding"
"412",111,700,"Feeding"
"414",300,350,"ES"
"415",300,450,"ES"
"416",300,650,"ES"
"417",61,650,"ES"
"418",500,650,"ES"
"419",66,650,"ES"
"420",68,650,"ES"
"421",300,550,"ES"
"422",400,550,"ES"
"423",61,550,"ES"
"424",500,550,"ES"
"425",66,550,"ES"
"426",68,550,"ES"
"427",700,550,"ES"
"428",600,550,"ES"
"429",111,550,"ES"
"430",112,550,"ES"
"431",113,550,"ES"
"432",114,550,"ES"
"433",115,550,"ES"
"434",900,550,"ES"
"435",118,550,"ES"
"436",120,550,"ES"
"437",125,550,"ES"
"438",132,550,"ES"
"439",139,550,"ES"
"440",140,550,"ES"
"441",210,550,"ES"
"442",118,1050,"ES"
"443",120,750,"ES"
"444",900,750,"ES"
"445",125,1050,"ES"
"446",900,1050,"ES"
"447",132,750,"ES"
"448",139,1050,"ES"
"449",61,1050,"ES"
"450",68,1050,"ES"
"451",143,950,"ES"
"452",145,950,"ES"
"453",155,950,"ES"
"454",173,950,"ES"
"455",182,950,"ES"
"456",161,850,"ES"
"457",151,850,"ES"
"458",183,850,"ES"
"459",148,850,"ES"
"460",202,850,"ES"
"461",190,850,"ES"
"462",187,850,"ES"
"463",141,850,"ES"
"464",120,1050,"ES"
"465",132,1050,"ES"
