SpeciesID,all.biomass,OrganismType,NodeColor,NodeShape,NodeName,TrophicLevel,Description,ImageFile,Caption,ImageSource,ImageLiscence
500,1788.910924,Molluscs,Dark Teal-2,Circle,Molluscs,3.901681362,"Molluscs are invertebrate animals, meaning they do not have backbones. There are more than 85,000 species of molluscs today. Mollsucs are shell-forming animals and are vulnerable to ocean acidifcation and pollution.",mussels.jpg,Many mussels underwater.,donieve at pixabay,Free for commercial use
550,49779.82555,Ecosystem Service,Dark Pink-4,Square,Carbon Storage,5.943751657,"Carbon storage (also known as carbon sequestration) is the process of capturing and storing carbon. Carbon can be stored in plants, soils and other organic materials.",carbon.jpg,Salt marsh with vehicle in the background.,jeanlouisservais at pixabay,Free for commercial use
600,18.03491695,Insect,Dark Purple-6,Circle,Insects,6.454217148,"Insects are invertebrate animals, meaning they do not have backbones. Insects are a class of arthropods with a hard external skeleton (known as the exoskeleton), a segmented body, and at least 3 pairs of legs. Some insects include ants, butterflies, mosquitoes and flies.",insect.jpg,Dragonfly on branch.,liggraphy at pixabay,Free for commercial use
650,47789.69028,Ecosystem Service,Dark Pink-4,Square,Water Filtration,3.450840681,Water filtration is the process of removing and reducing the number of particles suspended in water. This helps improve water clarity by reducing sediment loads.,filtration.jpg,Mussels filtering water.,zoosnow at pixabay,Free for commercial use
700,11.78583508,Plankton,Light Yellow-15,Circle,Plankton,4.017695693,Plankton are a diverse colletion of microscopic plants and animals that drift around in aquatic ecosystems. Phytoplankton is are tiny plants and Zooplankton are tiny animals that eat phytoplankton. Plankton form the base of aquatic food webs.,plankton.jpg,Microscopic image of plankton.,Fabianduran at pixabay,Free for commercial use
750,0.9714345,Ecosystem Service,Dark Pink-4,Square,Commercial Fishery,6.617236554,"Commercial fisheries are large-scale harvesting operations that target fish and other seafood for commercial profit. These fisheries do not occur in salt marshes. However, salt marshes and other coastal ecosystems like mangroves provide importance habitat and breeding grounds for many commercially important species.",comm-fish.jpg,Commercial fishing boat in a harbor.,PublicDomainPictures at pixabay,Free for commercial use
800,191.3924808,Crustacean,Teal-3,Circle,Crustaceans,5.035391385,"Crustaceans are invertebrate animals, meaning they do not have backbones. There are many different types of crustaceans, but they are generally categorixed by a hard exoskeleton, a segmented body and at least 4 pairs of jointed appendages (""legs"" and ""claws""). Crustaceans are vulnerable to over fishing, plastic pollution, habitat loss and ocean acidification. Ocean acidification occurs when there are changes in the chemical make up (specifically decreases in the pH due to increased carbon dioxide) of oceans, which can make it difficult for shell-builiding organisms to build their shells.",crab.jpg,Crab standing in sand.,pixabay,Free for commercial use
850,0.369631471,Ecosystem Service,Dark Pink-4,Square,Birdwatching,6.89226806,"Birdwatching, or birding, is a type of wildlife viewing, where people track, look and listen for birds. This can be done for recreation and/or citizen science.",birdwatch.jpg,Binoculars on bird guide.,stevepb at pixabay,Free for commercial use
900,13.9926841,Fish,Blue-7,Circle,Other fish,5.374696789,"Fish are gill-bearing organisms that live in aquatic ecosystems. There are more than 28,000 species, some of which are of critical importance to fisheries and wildlife viewing. They vary in their vulnerability to disturbances, but can be impacted greatly by overfishing and warming waters.",surfperch.jpg,"Shiner Surfperch, one species of fish.",David Stang,Free to copy and adapt with credit
950,0.8204547,Ecosystem Service,Dark Pink-4,Square,Waterfowl Hunting,6.887658676,"Waterfowl hunting is the activity of hunting ducks, geese or other water birds for fun and/or food.",wfowl-hunt.jpg,Dog carrying waterfowl in grass.,karisjo at pixabay,Free for commercial use
1000,2.460564575,Bird,Maroon-11,Circle,Other birds,5.887658676,"Birds are vertebrates charactereized by feathers, a beak, and wings. There are more than 9,000 species of birds with a wide array of fascinating behaviors. Like fish, they vary in their vulnerability but are generally impacted by pollution and habitat loss.",birds.jpg,Flock of birds flying over water at sunset.,Slavicsly at Pixabay,Free for commercial use
1050,584.6903931,Ecosystem Service,Dark Pink-4,Square,Recreational Fishery,6.274118594,"Recreational fishing involves fishing for fun. This type of fishing can take place on small boats, on the shoreline, or on piers in salt marshes.",rec-fish.jpg,Fishing rod on pier over water.,aranha at pixabay,Free for commercial use
